Key,File,Type,UsedInMainMenu,NoTranslate,english

endzAmmobench,blocks,Workstation,,,Weapon Bench
AmmobenchDesc,blocks,Block,,,"This is where you craft all your WorkBench related ammo and weapon parts"
lblCategoryAmmoPress,UI,Tooltip,,,All Ammo
lblCategoryAmmoPressarrow,UI,Tooltip,,,Arrows
lblCategoryAmmoPressRegularAmmo,UI,Tooltip,,,Regular Ammo
lblCategoryAmmoPressHPAmmo,UI,Tooltip,,,HP Ammo
lblCategoryAmmoPressAPAmmo,UI,Tooltip,,,AP Ammo
lblCategoryAmmoPressvibeAmmo,UI,Tooltip,,,Vibe Ammo
lblCategoryAmmoPressexplosive,UI,Tooltip,,,Explosives
lblCategoryAmmoPressfiredexplosive,UI,Tooltip,,,Rockets
lblCategoryAmmoPressvanillapartscategory,UI,Tooltip,,,Item Parts

modGunMeleeNiCdBattery,item_modifiers,Mod,,,"NiCd Battery Mod"
modGunMeleeNiCdBatteryDesc,item_modifiers,Mod,,,"A shocking addition to weapons.\n\nCannot be installed alongside Flammable Oil Mod or Liquid Nitrogen Mod."
modGunMeleeFlammableOil,item_modifiers,Mod,,,"Flammable Oil Mod"
modGunMeleeFlammableOilDesc,item_modifiers,Mod,,,"Can set enemies on fire.\n\nCannot be installed alongside NiCd Battery Mod or Liquid Nitrogen Mod."
modGunMeleeLiquidNitrogen,item_modifiers,Mod,,,"Liquid Nitrogen Mod"
modGunMeleeLiquidNitrogenDesc,item_modifiers,Mod,,,"Briefly freezes enemies.\n\nCannot be installed alongside NiCd Battery Mod or Flammable Oil Mod."

workstationsT4,progression,Attribute,,,Tier 4: Chemistry Station/Crucible

[05f5ee]Moon Rock Axe[-]
resourceMoonRocksLL,Items,Resource,,,"[05f5ee]Moon Rock"
resourceMoonRocksLLDesc,Items,Resource,,,"[05f5ee]Find Moon Rocks[-] scattered around the lands. Big blue rocks that look like their from another world."
resourcemoonmixLL,Items,Resource,,,"[05f5ee]Moon Rock Mortar"
resourcemoonmixLLDesc,Items,Resource,,,"[05f5ee]This strong resource is made in the mixer to upgrade to moonrock blocks"
materialMmoonrock_shapes,blocks,Block,,,"[05f5ee]Moon Rock"
moonrockShapes:VariantHelper,blocks,Block,,,"[05f5ee]Moon Rock Shapes"
harvestToolsStone,progression,Attribute,,,"[05f5ee]Moon Rock Tools"
meleeToolRepairT0StoneAxe,items,Tool,,,"[05f5ee]Moon Rock Axe"
meleeToolRepairT0StoneAxeDesc,items,Tool,,,"A primitive tool useful for cutting wood, mining stone, repairing & upgrading walls, doors & windows. Not the best weapon.\n\nRepair with [05f5ee]Moon Rock[-].\nScrap to [05f5ee]Moon Rock[-]."
meleeToolShovelT0StoneShovel,items,Tool,,,"[05f5ee]Moon Rock Shovel"
meleeToolShovelT0StoneShovelDesc,items,Tool,,,"The [05f5ee]Moon Rock Shovel[-] is a primitive tool useful for digging dirt, sand or snow.\n\nRepair with [05f5ee]Moon Rock[-].\nScrap to [05f5ee]Moon Rock[-]."
meleeWpnSpearT0StoneSpear,items,Melee,,,"[05f5ee]Moon Rock Spear"
meleeWpnSpearT0StoneSpearDesc,items,Melee,,,"Spears have more range than other melee weapons.\n\nRepair with [05f5ee]Moon Rock[-].\nScrap to [05f5ee]Moon Rock[-]."
meleeWpnSledgeT0StoneSledgehammer,items,Melee,,,"[05f5ee]Moon Rock Sledgehammer"
meleeWpnSledgeT0StoneSledgehammerDesc,items,Melee,,,"The sledgehammer is one of the best weapons for cracking skulls.\n\nRepair with [05f5ee]Moon Rock[-].\nScrap to [05f5ee]Moon Rock[-]."
meleeWpnClubT0WoodenClub,items,Melee,,,"[05f5ee]Moon Rock Club"
meleeWpnClubT0WoodenClubDesc,items,Melee,,,"A [05f5ee]Moon Rock Club[-]. Good for breaking knees and skulls.\n\nRepair with [05f5ee]Moon Rock[-].\nScrap to [05f5ee]Moon Rock[-]."
challengeCraftStoneAxeDesc,Challenges,Challenge,,,"Craft a [05f5ee]Moon Rock Axe[-] to help you defend yourself and gather resources.\n\nAccess the [DECEA3]Inventory[-] and locate [05f5ee]Moon Rock Axe[-] in the [DECEA3]Basics[-] category of the crafting menu."
challengeCraftStoneAxeHint1,Challenges,Challenge,,,"[00FF00]Open [-][FFB400]the crafting menu [action:local:Inventory][action:permanent:Inventory][FFB400].\nSelect [-][05f5ee]Moon Rock Axe[-][FFB400]in [-][00FF00]Basics[-][FFB400] list.\n[-][00FF00]Press [-][FFB400][action:local:Forward] to [-][00FF00]Craft[-][FFB400] it.[-]"
challengeCraftStoneAxeHint1_alt,Challenges,Challenge,,,"[00FF00]Open [-][FFB400]the crafting menu [action:local:Inventory].\nSelect [action:gui:GUI Submit][-][05f5ee]Moon Rock Axe[-][FFB400]in [-][00FF00]Basics[-][FFB400] list.[-]\n[00FF00]Hold [-][action:gui:GUI Inspect] [FFB400]then [00FF00]Press [-][action:gui:GUI D-Pad Up] to [-][00FF00]Craft[-][FFB400] it."
challengeCraftStoneAxeShort,Challenges,Challenge,,,"Use the primitive resources to craft a [05f5ee]Moon Rock Axe[-]."
challengeGathererWoodDesc,Challenges,Challenge,,,"[DECEA3]Wood[-] can be gathered with an [DECEA3]Axe[-] by cutting down [DECEA3]Trees[-] and [DECEA3]Shrubs[-] or destroying [DECEA3]Blocks[-] made of [DECEA3]Wood[-].\n\nGather some [DECEA3]Wood[-] with a [DECEA3][05f5ee]Moon Rock Axe[-]."
challengeGatherResourcesStoneAxe,Challenges,Challenge,,,"[05f5ee]Moon Rock Axe[-] Harvesting"
challengeGatherResourcesStoneAxeDesc,Challenges,Challenge,,,"Some [DECEA3]Tools[-] are better than others at harvesting certain materials. Using your [DECEA3]Empty Hands[-] to collect [DECEA3]Wood[-] and [DECEA3]Small Stones[-] is fine, but a good [05f5ee]Moon Rock Axe[-] will do it much faster. \n\nThe [05f5ee]Moon Rock Axe[-] is also used in [DECEA3]Repairing[-] and [DECEA3]Upgrading[-] blocks like [DECEA3]Building Blocks[-]."
challengeGatherResourcesStoneAxeHint1,Challenges,Challenge,,,"[00FF00]Press[-] [FFB400][action:local:Inventory][action:permanent:Inventory] to open the Inventory.[-][00FF00]\nSelect[-][FFB400] the [-][05f5ee]Moon Rock Axe[-][FFB400].[-]\n[00FF00]Press [-][FFB400][action:gui:GUI D-Pad Up] to [-][00FF00]Equip [FFB400]the [05f5ee]Moon Rock Axe[-]."
challengeGatherResourcesStoneAxeHint1_alt,Challenges,Challenge,,,"[00FF00]Press [-][FFB400][action:local:Inventory] to open the Inventory.[-]\n[00FF00]Inspect [-] [action:gui:GUI Inspect] [FFB400]the [-][05f5ee]Moon Rock Axe[-][FFB400].[-]\n[00FF00]Hold [-][action:gui:GUI Inspect] [FFB400]then [00FF00]Press [-][action:gui:GUI D-Pad Up] to [-][00FF00]Equip[-][FFB400] it."
challengeGatherResourcesStoneAxeShort,Challenges,Challenge,,,"Use the [05f5ee]Moon Rock Axe[-] to gather more primitive resources."
challengeHarvestLeatherShort,Challenges,Challenge,,,"Harvest some Leather from Restaurant Booths with a [05f5ee]Moon Rock Axe[-]."
challengeUpgradeBlocksHint1,Challenges,Challenge,,,[FFB400]Use [FF0000][action:local:ScrollUp][-] or [FF0000][action:local:ScrollDown][-] to equip the [-][05f5ee]Moon Rock Axe[-][FFB400].[-]"
